MainVertexSeq,VertexID,X,Y,Z,VertexDepth,MeshScalar
0,4408,-21.441,15.3474,45.9984,0,0
0,4408,-21.441,15.3474,45.9984,3,0
0,4407,-20.9179,15.6199,45.5552,2,0
0,4409,-21.6712,16.0767,45.9078,1,0
0,4405,-20.8593,14.8551,45.7966,1,0
0,4404,-20.1094,14.6668,45.4085,1,0
0,4051,-20.4248,15.9769,45.1125,1,0
0,4411,-21.2186,16.637,45.426,1,0
0,4754,-22.1507,15.5394,46.423,2,0
0,4749,-21.8675,14.4891,46.6074,1,0
0,4751,-22.6154,15.0199,46.894,1,0
0,4755,-22.8882,15.741,46.846,1,0
0,4752,-21.3566,14.5951,46.2323,1,0
0,4757,-22.896,16.4851,46.6514,1,0
0,4760,-22.3597,16.5616,46.252,1,0
1,4409,-21.6712,16.0767,45.9078,0,0
1,4409,-21.6712,16.0767,45.9078,3,0
1,4408,-21.441,15.3474,45.9984,2,0
1,4407,-20.9179,15.6199,45.5552,1,0
1,4405,-20.8593,14.8551,45.7966,1,0
1,4754,-22.1507,15.5394,46.423,1,0
1,4752,-21.3566,14.5951,46.2323,1,0
1,4411,-21.2186,16.637,45.426,2,0
1,4412,-21.8818,16.8154,45.8295,1,0
1,4051,-20.4248,15.9769,45.1125,1,0
1,4056,-20.6534,17.0217,44.9452,1,0
1,4414,-21.8663,17.5545,45.6339,1,0
1,4417,-21.3209,17.6335,45.231,1,0
1,4760,-22.3597,16.5616,46.252,2,0
1,4757,-22.896,16.4851,46.6514,1,0
1,4415,-22.3712,17.3253,46.0522,1,0
1,4762,-22.9834,17.4649,46.4778,1,0
2,4412,-21.8818,16.8154,45.8295,0,0
2,4412,-21.8818,16.8154,45.8295,3,0
2,4411,-21.2186,16.637,45.426,2,0
2,4407,-20.9179,15.6199,45.5552,1,0
2,4409,-21.6712,16.0767,45.9078,1,0
2,4051,-20.4248,15.9769,45.1125,1,0
2,4056,-20.6534,17.0217,44.9452,1,0
2,4414,-21.8663,17.5545,45.6339,1,0
2,4417,-21.3209,17.6335,45.231,1,0
2,4415,-22.3712,17.3253,46.0522,2,0
2,4416,-22.503,18.119,45.9856,1,0
2,4762,-22.9834,17.4649,46.4778,1,0
